案件代碼,分區,縣市,計畫名稱,開發單位,核定日期,終期計畫用水量(CMD)
960605001,北區,宜蘭縣,新竹科學工業園區宜蘭園區宜蘭城南基地開發計畫,科技部新竹科學工業園區管理局,096/4/27,4500
960817003,南區,嘉義縣,布袋國內商港整體規劃,臺灣港務股份有限公司,096/4/26,955
960508001,中區,苗栗縣,台灣農林苗栗三義拐子湖段土地工商綜合區開發案,台灣農林股份有限公司,096/3/9,519
960427001,東區,花蓮縣,新訂瑞穗溫泉特定區計畫,花蓮縣政府,096/2/12,1570
960227003,北區,新竹縣,一般觀光旅館豐邑尊榮飯店及國際觀光旅館承恩國際大飯店用水計畫書,承恩建設股份有限公司,096/2/1,912
960212001,北區,新竹縣,台灣知識經濟旗艦園區特定區計畫,新竹縣政府,096/1/3,11802
960315003,南區,台南市,南科液晶電視及產業支援工業區(樹谷園區)開發計畫,台南市政府經濟發展局,095/11/28,42000
951107001,中區,台中市,中部科學工業園區第三期發展區(后里園區-七星農場)開發計畫,科技部中部科學工業園區管理局,095/10/23,43000
951106001,中區,苗栗縣,新竹科學工業園區第四期擴建用地（竹南基地）,科技部新竹科學工業園區管理局,095/10/16,38900
951106002,北區,新竹縣,新竹科學工業園區 ( 含1、2、3 期及3、5路 ) 用水計畫書,科技部新竹科學工業園區管理局,095/9/29,190000
951012001,中區,彰化縣,彰化漁港開發計畫,彰化縣政府,095/9/18,604
951013001,東區,花蓮縣,花蓮七星潭濱海渡假村遊樂區開發案,派帝娜實業有限公司,095/9/14,373
950925003,北區,新北市,林口電廠更新擴建計畫,台灣電力公司,095/7/24,2998
950504001,中區,台中市,台中市精密機械科技創新園區開發計畫,台中市政府,095/4/17,3361
951025001,南區,高雄市,變更南部科學工業園區管理局高雄園區細部計畫,科技部南部科學工業園區管理局,095/3/23,90000
940815002,南區,嘉義縣,國立故宮博物院南部分院開發建築計畫,國立故宮博物院,094/5/16,1495
940923002,中區,雲林縣,劍湖山世界遊樂區擴大事業計畫,劍湖山世界股份有限公司,094/3/21,1143
980511001,南區,台南市,台南縣柳營科技工業區開發工程,台南市政府經濟發展局,094/1/20,10666
940923001,中區,台中市,中部科學工業園區台中基地第二期擴建計畫(含第一期變更),科技部中部科學工業園區管理局,093/12/9,73000
931001081,北區,新北市,台北港整體規劃及未來發展計畫(第二期工程範圍),基隆港務局,093/7/30,2800
931001096,北區,新北市,遠東通訊數位園區,遠東資源開發股份有限公司,093/7/1,2104
931001107,中區,雲林縣,中部科學工業園區雲林基地用水計畫書,科技部中部科學工業園區管理局,093/4/16,8800
931001109,中區,南投縣,南投縣埔里鎮中台禪寺第二期開發計畫,中台禪寺,093/1/6,900
931001045,南區,高雄市,佛陀紀念館開發計畫,佛光山寺,092/1/9,500
931001063,北區,桃園市,林口工五工業區（華亞科技園區）用水計畫書,華亞園區管理顧問股份有限公司,090/7/19,59922
931001003,中區,台中市,台中縣大里仁化工業區,佑澍建設(股)公司,087/5/20,1540
