"PlanCode","PlanName","DevelopmentFactory","WaterRequired"
"磯鑫工業股份有限公司","1060222001","磯鑫工業區開發案","132.7"
"臺億建築經理股份有限公司","1060317001","高雄市鼓山區青海段214地號店鋪、集合住宅新建工程","250"
"BT技佳工程","1060317002","申報用的測試帳號","10"
"寶泰開發事業股份有限公司","1060322001","埔里赤崁頂遊樂區開發計畫變更","483"
"台灣農林股份有限公司","1060419001","變更竹南頭份都市計畫（部分甲種工業區(工十三) 變更為住宅區及商業區）","596"
"經濟部","1060425001","彰化縣大城產業園區(第一期)","548.9"
"台灣自來水股份有限公司(執行單位：自來水公司中區工程處)","1060517001","鳥嘴潭人工湖下游自來水供水工程－芬園淨水場開發計畫","185.25"
"興富發建設股份有限公司","1060524001","高雄市苓雅區林德官段1311等33筆地號店鋪暨辦公室新建工程","215.57"
"南投縣政府","1060603001","中臺灣精密科學園區南投基地設置計畫","2039"
"國際引藻生物科技有限公司","1060817001","國際引藻生物科技有限公司二林新廠開發計畫","294"
"台灣電力公司","1060830001","深澳電廠更新擴建計畫","1994"
"寶山鄉明湖自辦農村社區土地重劃區重劃會","1061024001","新竹縣寶山鄉明湖自辦農村社區土地重劃案","87"
"台中市政府","1070726001","台中市精密機械科技創新園區開發計畫","3361"
"台中市政府","1070726002","台中市精密機械科技創新園區二期開發計畫","563"
"科技部中部科學工業園區管理局","1071011001","高等研究園區實質計畫","4281"
"台灣電力公司","1071126001","深澳發電廠更新擴建計畫","5435"
